name,citation,id,obligation,constraint,permission,entitlement,MandatoryDelegation,Permissive Delegation,PermissiveProvision,MandatoryProvision,Constraining Provision
Section 48,CARES_ACT,48,1,1,0,1,1,0,0,0,0
Section 49,CARES_ACT,49,0,0,1,3,1,0,0,0,0
Section 50,CARES_ACT,50,0,1,0,0,0,0,0,0,0
Section 51,CARES_ACT,51,2,2,0,1,2,0,0,0,0
Section 52,CARES_ACT,52,2,0,0,2,2,0,0,1,0
Section 53,CARES_ACT,53,0,1,1,1,1,0,0,0,0
Section 54,CARES_ACT,54,0,0,1,1,1,0,0,0,0
Section 55,CARES_ACT,55,1,1,0,0,1,0,0,0,0
Section 56,CARES_ACT,56,0,1,0,1,1,0,0,0,0
Section 57,CARES_ACT,57,0,0,0,3,3,0,0,0,0
Section 58,CARES_ACT,58,1,1,0,1,2,0,0,0,0
Section 59,CARES_ACT,59,4,5,5,20,12,1,1,1,0
Section 60,CARES_ACT,60,1,1,0,2,2,0,0,0,0
Section 61,CARES_ACT,61,1,1,1,0,1,0,0,0,0
Section 62,CARES_ACT,62,2,0,1,3,4,0,0,0,0
Section 63,CARES_ACT,63,0,0,0,1,1,0,0,0,0
Section 64,CARES_ACT,64,0,0,0,0,0,0,0,0,0
Section 65,CARES_ACT,65,0,0,0,0,0,0,0,0,0
Section 66,CARES_ACT,66,1,0,3,3,3,0,0,0,0
Section 67,CARES_ACT,67,1,1,0,0,1,0,0,0,0
Section 68,CARES_ACT,68,2,0,0,3,5,0,0,0,0
Section 69,CARES_ACT,69,2,2,0,1,2,0,0,0,1
Section 70,CARES_ACT,70,0,0,0,0,0,0,0,0,0
Section 71,CARES_ACT,71,1,1,1,1,2,0,0,0,0
Section 72,CARES_ACT,72,0,0,1,0,0,0,0,0,0
Section 73,CARES_ACT,73,2,3,2,1,3,0,0,1,0
Section 74,CARES_ACT,74,0,0,0,1,1,0,0,0,0
Section 75,CARES_ACT,75,0,1,1,1,1,0,0,0,0
Section 76,CARES_ACT,76,0,0,0,2,2,0,0,0,0
Section 77,CARES_ACT,77,0,0,1,1,0,0,0,0,1
Section 78,CARES_ACT,78,0,1,2,3,1,0,0,0,0
Section 79,CARES_ACT,79,5,2,0,6,9,0,0,1,0
Section 80,CARES_ACT,80,14,2,4,6,18,0,0,0,0
Section 81,CARES_ACT,81,0,0,1,0,0,0,0,0,0
Section 82,CARES_ACT,82,0,0,0,1,0,0,0,0,0
Section 83,CARES_ACT,83,1,1,1,0,1,0,0,0,0
Section 84,CARES_ACT,84,0,2,1,0,0,0,0,0,0
Section 85,CARES_ACT,85,0,2,0,2,1,0,0,0,0
Section 86,CARES_ACT,86,1,0,0,0,1,0,0,0,0
Section 87,CARES_ACT,87,1,0,0,0,1,0,0,0,0
Section 88,CARES_ACT,88,1,0,0,2,1,1,1,0,0
Section 89,CARES_ACT,89,0,0,0,1,0,0,0,0,0
Section 90,CARES_ACT,90,3,2,8,1,4,0,0,0,0
Section 91,CARES_ACT,91,2,5,3,2,3,0,0,0,0
Section 92,CARES_ACT,92,3,0,1,5,4,0,0,1,1
Section 93,CARES_ACT,93,1,1,2,1,2,0,0,0,0
Section 94,CARES_ACT,94,2,1,2,2,3,0,0,0,0
Section 95,CARES_ACT,95,0,1,2,1,0,0,0,0,0
Section 96,CARES_ACT,96,1,0,0,0,1,0,0,0,0
Section 97,CARES_ACT,97,0,0,0,1,0,0,0,0,1
Section 98,CARES_ACT,98,1,0,0,2,1,0,0,0,1
Section 99,CARES_ACT,99,0,0,0,0,0,0,0,0,0
Section 100,CARES_ACT,100,0,0,0,0,0,0,0,0,0
Section 101,CARES_ACT,101,0,0,0,1,1,0,0,0,0
Section 102,CARES_ACT,102,1,0,0,1,1,0,0,0,0
Section 103,CARES_ACT,103,0,0,0,1,0,0,0,0,0
Section 104,CARES_ACT,104,2,0,4,4,4,0,0,2,0
Section 105,CARES_ACT,105,0,1,0,0,0,0,0,0,0
Section 106,CARES_ACT,106,0,0,0,0,0,0,0,0,0
